,official_name_en,ISO3166-1-Alpha-3
1,Afghanistan,AFG
2,Albania,ALB
3,Algeria,DZA
4,American Samoa,ASM
5,Andorra,AND
6,Angola,AGO
7,Anguilla,AIA
8,Antarctica,ATA
9,Antigua and Barbuda,ATG
10,Argentina,ARG
11,Armenia,ARM
12,Aruba,ABW
13,Australia,AUS
14,Austria,AUT
15,Azerbaijan,AZE
16,Bahamas,BHS
17,Bahrain,BHR
18,Bangladesh,BGD
19,Barbados,BRB
20,Belarus,BLR
21,Belgium,BEL
22,Belize,BLZ
23,Benin,BEN
24,Bermuda,BMU
25,Bhutan,BTN
26,Bolivia (Plurinational State of),BOL
27,"Bonaire, Sint Eustatius and Saba",BES
28,Bosnia and Herzegovina,BIH
29,Botswana,BWA
30,Bouvet Island,BVT
31,Brazil,BRA
32,British Indian Ocean Territory,IOT
33,British Virgin Islands,VGB
34,Brunei Darussalam,BRN
35,Bulgaria,BGR
36,Burkina Faso,BFA
37,Burundi,BDI
38,Cabo Verde,CPV
39,Cambodia,KHM
40,Cameroon,CMR
41,Canada,CAN
42,Cayman Islands,CYM
43,Central African Republic,CAF
44,Chad,TCD
45,Chile,CHL
46,China,CHN
47,"China, Hong Kong Special Administrative Region",HKG
48,"China, Macao Special Administrative Region",MAC
49,Christmas Island,CXR
50,Cocos (Keeling) Islands,CCK
51,Colombia,COL
52,Comoros,COM
53,Congo,COG
54,Cook Islands,COK
55,Costa Rica,CRI
56,Croatia,HRV
57,Cuba,CUB
58,Curaçao,CUW
59,Cyprus,CYP
60,Czechia,CZE
61,Côte d'Ivoire,CIV
62,Democratic People's Republic of Korea,PRK
63,Democratic Republic of the Congo,COD
64,Denmark,DNK
65,Djibouti,DJI
66,Dominica,DMA
67,Dominican Republic,DOM
68,Ecuador,ECU
69,Egypt,EGY
70,El Salvador,SLV
71,Equatorial Guinea,GNQ
72,Eritrea,ERI
73,Estonia,EST
74,Ethiopia,ETH
75,Falkland Islands (Malvinas),FLK
76,Faroe Islands,FRO
77,Fiji,FJI
78,Finland,FIN
79,France,FRA
80,French Guiana,GUF
81,French Polynesia,PYF
82,French Southern Territories,ATF
83,Gabon,GAB
84,Gambia,GMB
85,Georgia,GEO
86,Germany,DEU
87,Ghana,GHA
88,Gibraltar,GIB
89,Greece,GRC
90,Greenland,GRL
91,Grenada,GRD
92,Guadeloupe,GLP
93,Guam,GUM
94,Guatemala,GTM
95,Guernsey,GGY
96,Guinea,GIN
97,Guinea-Bissau,GNB
98,Guyana,GUY
99,Haiti,HTI
100,Heard Island and McDonald Islands,HMD
101,Holy See,VAT
102,Honduras,HND
103,Hungary,HUN
104,Iceland,ISL
105,India,IND
106,Indonesia,IDN
107,Iran (Islamic Republic of),IRN
108,Iraq,IRQ
109,Ireland,IRL
110,Isle of Man,IMN
111,Israel,ISR
112,Italy,ITA
113,Jamaica,JAM
114,Japan,JPN
115,Jersey,JEY
116,Jordan,JOR
117,Kazakhstan,KAZ
118,Kenya,KEN
119,Kiribati,KIR
120,Kuwait,KWT
121,Kyrgyzstan,KGZ
122,Lao People's Democratic Republic,LAO
123,Latvia,LVA
124,Lebanon,LBN
125,Lesotho,LSO
126,Liberia,LBR
127,Libya,LBY
128,Liechtenstein,LIE
129,Lithuania,LTU
130,Luxembourg,LUX
131,Madagascar,MDG
132,Malawi,MWI
133,Malaysia,MYS
134,Maldives,MDV
135,Mali,MLI
136,Malta,MLT
137,Marshall Islands,MHL
138,Martinique,MTQ
139,Mauritania,MRT
140,Mauritius,MUS
141,Mayotte,MYT
142,Mexico,MEX
143,Micronesia (Federated States of),FSM
144,Monaco,MCO
145,Mongolia,MNG
146,Montenegro,MNE
147,Montserrat,MSR
148,Morocco,MAR
149,Mozambique,MOZ
150,Myanmar,MMR
151,Namibia,NAM
152,Nauru,NRU
153,Nepal,NPL
154,Netherlands,NLD
155,New Caledonia,NCL
156,New Zealand,NZL
157,Nicaragua,NIC
158,Niger,NER
159,Nigeria,NGA
160,Niue,NIU
161,Norfolk Island,NFK
162,Northern Mariana Islands,MNP
163,Norway,NOR
164,Oman,OMN
165,Pakistan,PAK
166,Palau,PLW
167,Panama,PAN
168,Papua New Guinea,PNG
169,Paraguay,PRY
170,Peru,PER
171,Philippines,PHL
172,Pitcairn,PCN
173,Poland,POL
174,Portugal,PRT
175,Puerto Rico,PRI
176,Qatar,QAT
177,Republic of Korea,KOR
178,Republic of Moldova,MDA
179,Romania,ROU
180,Russian Federation,RUS
181,Rwanda,RWA
182,Réunion,REU
183,Saint Barthélemy,BLM
184,Saint Helena,SHN
185,Saint Kitts and Nevis,KNA
186,Saint Lucia,LCA
187,Saint Martin (French Part),MAF
188,Saint Pierre and Miquelon,SPM
189,Saint Vincent and the Grenadines,VCT
190,Samoa,WSM
191,San Marino,SMR
192,Sao Tome and Principe,STP
193,Sark,
194,Saudi Arabia,SAU
195,Senegal,SEN
196,Serbia,SRB
197,Seychelles,SYC
198,Sierra Leone,SLE
199,Singapore,SGP
200,Sint Maarten (Dutch part),SXM
201,Slovakia,SVK
202,Slovenia,SVN
203,Solomon Islands,SLB
204,Somalia,SOM
205,South Africa,ZAF
206,South Georgia and the South Sandwich Islands,SGS
207,South Sudan,SSD
208,Spain,ESP
209,Sri Lanka,LKA
210,State of Palestine,PSE
211,Sudan,SDN
212,Suriname,SUR
213,Svalbard and Jan Mayen Islands,SJM
214,Swaziland,SWZ
215,Sweden,SWE
216,Switzerland,CHE
217,Syrian Arab Republic,SYR
218,Tajikistan,TJK
219,Thailand,THA
220,The former Yugoslav Republic of Macedonia,MKD
221,Timor-Leste,TLS
222,Togo,TGO
223,Tokelau,TKL
224,Tonga,TON
225,Trinidad and Tobago,TTO
226,Tunisia,TUN
227,Turkey,TUR
228,Turkmenistan,TKM
229,Turks and Caicos Islands,TCA
230,Tuvalu,TUV
231,Uganda,UGA
232,Ukraine,UKR
233,United Arab Emirates,ARE
234,United Kingdom of Great Britain and Northern Ireland,GBR
235,United Republic of Tanzania,TZA
236,United States Minor Outlying Islands,UMI
237,United States Virgin Islands,VIR
238,United States of America,USA
239,Uruguay,URY
240,Uzbekistan,UZB
241,Vanuatu,VUT
242,Venezuela (Bolivarian Republic of),VEN
243,Viet Nam,VNM
244,Wallis and Futuna Islands,WLF
245,Western Sahara,ESH
246,Yemen,YEM
247,Zambia,ZMB
248,Zimbabwe,ZWE
249,Åland Islands,ALA
